0.243472	0.567153	0.505573	0.357855	0.202339	0.107265	0.052461	0.031218	0.019809	0.019920	0.022810	0.027678	0.042959	0.069815	0.093710	0.112967	0.134212	0.145215	0.157809	0.149986	0.144632	0.137295	0.124004	0.085079	
0.144533	0.174491	0.152375	0.120101	0.081712	0.055440	0.035274	0.030477	0.026077	0.029880	0.041159	0.084496	0.187057	0.378633	0.325444	0.313359	0.295104	0.286977	0.273656	0.259510	0.253725	0.265407	0.232189	0.076325	
0.101796	0.120620	0.126840	0.091095	0.077174	0.064938	0.044557	0.030793	0.039485	0.030478	0.033472	0.051512	0.068757	0.093251	0.143893	0.180910	0.197428	0.230407	0.227958	0.204315	0.791633	0.187777	0.109715	0.068714	
0.054178	0.062188	0.057974	0.054274	0.043623	0.032408	0.022164	0.013352	0.006728	0.008313	0.012237	0.022331	0.028238	0.070441	0.167009	0.553572	0.400563	0.461137	0.352467	0.263032	0.194584	0.143365	0.111257	0.071418	
0.014604	0.021867	0.019401	0.017961	0.016548	0.025663	0.015370	0.012974	0.012678	0.012963	0.016505	0.015950	0.030804	0.029306	0.029939	0.066337	0.988594	0.077115	0.046411	0.036735	0.027926	0.029191	0.024536	0.017619	
0.033664	0.045619	0.041451	0.034895	0.035323	0.028512	0.022878	0.030814	0.022672	0.018756	0.032636	0.039682	0.077879	0.213706	0.650034	0.635219	0.211745	0.145275	0.119501	0.106007	0.087667	0.077384	0.049752	0.037680	
0.305465	0.282427	0.284833	0.265810	0.236524	0.190966	0.129221	0.085014	0.059165	0.047402	0.040655	0.044978	0.064302	0.093680	0.135630	0.180528	0.214686	0.235739	0.256261	0.250631	0.259765	0.267692	0.256578	0.224427	
0.108260	0.163910	0.177687	0.181529	0.165573	0.125128	0.082020	0.050985	0.033976	0.024653	0.019024	0.022517	0.032103	0.052478	0.099002	0.188078	0.316887	0.602543	0.346556	0.261140	0.224688	0.199587	0.183201	0.131327	
0.096142	0.083002	0.058864	0.038012	0.024903	0.015044	0.010802	0.009403	0.008363	0.011298	0.016558	0.028512	0.064936	0.149210	0.337941	0.351798	0.341693	0.339870	0.318774	0.363311	0.381715	0.299381	0.099661	0.032091	
0.092443	0.098761	0.154173	0.898549	0.180977	0.101916	0.072003	0.055481	0.043542	0.046572	0.037129	0.040996	0.045405	0.064681	0.073725	0.088555	0.098562	0.097280	0.116595	0.104064	0.092545	0.097961	0.081952	0.063352	
0.050720	0.073610	0.094142	0.088323	0.081297	0.079862	0.058426	0.060129	0.046008	0.043196	0.039330	0.051090	0.078361	0.117492	0.872300	0.137210	0.134260	0.166218	0.160176	0.129729	0.156130	0.125355	0.101133	0.095148	
0.145334	0.229655	0.292008	0.559069	0.313201	0.150237	0.070152	0.036376	0.021147	0.019728	0.022594	0.045959	0.087897	0.154829	0.218516	0.266539	0.247825	0.208871	0.196979	0.185788	0.164829	0.138724	0.122459	0.087630	
